2026-06-20 08:19:06 | DMS | INFO | ============================================================
2026-06-20 08:19:06 | DMS | INFO | Driver Drowsiness Detection System Initializing...
2026-06-20 08:19:06 | DMS | INFO | Version: 2.0.0 | Mode: production
2026-06-20 08:19:06 | DMS | INFO | ============================================================
2026-06-20 08:19:06 | DMS | INFO | Initializing detection components...
2026-06-20 08:19:13 | DMS | INFO | Initializing calibration components...
2026-06-20 08:19:13 | DMS | INFO | Initializing driver selection...
2026-06-20 08:19:13 | DMS | INFO | Initializing feature analyzers...
2026-06-20 08:19:13 | DMS | INFO | Initializing signal processing...
2026-06-20 08:19:13 | DMS | INFO | Initializing alert system...
2026-06-20 08:19:13 | DMS | INFO | ✅ All components initialized successfully!
2026-06-20 08:19:13 | DMS | INFO | Initializing camera...
2026-06-20 08:20:01 | DMS | INFO | Camera ready: 640x480 @ 30fps
2026-06-20 08:20:01 | DMS | INFO | System not calibrated. Starting calibration...
2026-06-20 08:20:01 | DMS | INFO | Starting calibration process...
2026-06-20 08:20:28 | DMS | INFO | ✅ Calibration complete for driver: driver_1781968813
2026-06-20 08:20:28 | DMS | INFO | 🚀 System running. Press 'q' to quit, 'c' to recalibrate
2026-06-20 08:20:44 | DMS | INFO | Received signal 2, shutting down...
2026-06-20 08:20:44 | DMS | INFO | Shutting down system...
2026-06-20 08:20:44 | DMS | INFO | Saving profile for driver: driver_1781968813
2026-06-20 08:20:44 | DMS | INFO | ============================================================
2026-06-20 08:20:44 | DMS | INFO | System Statistics:
2026-06-20 08:20:44 | DMS | INFO |   - Total frames processed: 462
2026-06-20 08:20:44 | DMS | INFO |   - Average processing time: 21.6ms
2026-06-20 08:20:44 | DMS | INFO |   - Calibrated: True
2026-06-20 08:20:44 | DMS | INFO | ============================================================
2026-06-20 08:20:44 | DMS | INFO | ✅ System shutdown complete
2026-06-20 11:28:55 | DMS | INFO | ============================================================
2026-06-20 11:28:55 | DMS | INFO | Driver Drowsiness Detection System Initializing...
2026-06-20 11:28:55 | DMS | INFO | Version: 2.0.0 | Mode: production
2026-06-20 11:28:55 | DMS | INFO | ============================================================
2026-06-20 11:28:55 | DMS | INFO | Initializing detection components...
2026-06-20 11:28:59 | DMS | INFO | Initializing calibration components...
2026-06-20 11:28:59 | DMS | INFO | Initializing driver selection...
2026-06-20 11:28:59 | DMS | INFO | Initializing feature analyzers...
2026-06-20 11:28:59 | DMS | INFO | Initializing signal processing...
2026-06-20 11:28:59 | DMS | INFO | Initializing alert system...
2026-06-20 11:28:59 | DMS | INFO | ✅ All components initialized successfully!
2026-06-20 11:28:59 | DMS | INFO | Initializing camera...
2026-06-20 11:29:25 | DMS | INFO | Camera ready: 640x480 @ 30fps
2026-06-20 11:29:25 | DMS | INFO | System not calibrated. Starting calibration...
2026-06-20 11:29:25 | DMS | INFO | Starting calibration process...
2026-06-20 11:29:44 | DMS | INFO | ✅ Calibration complete for driver: driver_1781980169
2026-06-20 11:29:44 | DMS | INFO | 🚀 System running. Press 'q' to quit, 'c' to recalibrate
2026-06-20 11:30:29 | DMS | INFO | Received signal 2, shutting down...
2026-06-20 11:30:29 | DMS | INFO | Shutting down system...
2026-06-20 11:30:29 | DMS | INFO | Saving profile for driver: driver_1781980169
2026-06-20 11:30:29 | DMS | INFO | ============================================================
2026-06-20 11:30:29 | DMS | INFO | System Statistics:
2026-06-20 11:30:29 | DMS | INFO |   - Total frames processed: 1343
2026-06-20 11:30:29 | DMS | INFO |   - Average processing time: 7.0ms
2026-06-20 11:30:29 | DMS | INFO |   - Calibrated: True
2026-06-20 11:30:29 | DMS | INFO | ============================================================
2026-06-20 11:30:29 | DMS | INFO | ✅ System shutdown complete
2026-06-20 11:33:14 | DMS | INFO | ============================================================
2026-06-20 11:33:14 | DMS | INFO | Driver Drowsiness Detection System Initializing...
2026-06-20 11:33:14 | DMS | INFO | Version: 2.0.0 | Mode: production
2026-06-20 11:33:14 | DMS | INFO | ============================================================
2026-06-20 11:33:14 | DMS | INFO | Initializing detection components...
2026-06-20 11:33:21 | DMS | INFO | Initializing calibration components...
2026-06-20 11:33:21 | DMS | INFO | Initializing driver selection...
2026-06-20 11:33:21 | DMS | INFO | Initializing feature analyzers...
2026-06-20 11:33:21 | DMS | INFO | Initializing signal processing...
2026-06-20 11:33:21 | DMS | INFO | Initializing alert system...
2026-06-20 11:33:21 | DMS | INFO | ✅ All components initialized successfully!
2026-06-20 11:33:21 | DMS | INFO | Initializing camera...
2026-06-20 11:34:14 | DMS | INFO | Camera ready: 640x480 @ 30fps
2026-06-20 11:34:14 | DMS | INFO | System not calibrated. Starting calibration...
2026-06-20 11:34:14 | DMS | INFO | Starting calibration process...
2026-06-20 11:34:30 | DMS | INFO | ✅ Calibration complete for driver: driver_1781980454
2026-06-20 11:34:30 | DMS | INFO | 🚀 System running. Press 'q' to quit, 'c' to recalibrate
2026-06-20 11:34:40 | DMS | INFO | Received signal 2, shutting down...
2026-06-20 11:34:40 | DMS | INFO | Shutting down system...
2026-06-20 11:34:40 | DMS | INFO | Saving profile for driver: driver_1781980454
2026-06-20 11:34:40 | DMS | INFO | ============================================================
2026-06-20 11:34:40 | DMS | INFO | System Statistics:
2026-06-20 11:34:40 | DMS | INFO |   - Total frames processed: 291
2026-06-20 11:34:40 | DMS | INFO |   - Average processing time: 23.2ms
2026-06-20 11:34:40 | DMS | INFO |   - Calibrated: True
2026-06-20 11:34:40 | DMS | INFO | ============================================================
2026-06-20 11:34:40 | DMS | INFO | ✅ System shutdown complete
2026-06-20 12:37:01 | DMS | INFO | ============================================================
2026-06-20 12:37:01 | DMS | INFO | Driver Drowsiness Detection System Initializing...
2026-06-20 12:37:01 | DMS | INFO | Version: 2.0.0 | Mode: production
2026-06-20 12:37:01 | DMS | INFO | ============================================================
2026-06-20 12:37:01 | DMS | INFO | Initializing detection components...
2026-06-20 12:37:11 | DMS | INFO | Initializing calibration components...
2026-06-20 12:37:11 | DMS | INFO | Initializing driver selection...
2026-06-20 12:37:11 | DMS | INFO | Initializing feature analyzers...
2026-06-20 12:37:11 | DMS | INFO | Initializing signal processing...
2026-06-20 12:37:11 | DMS | INFO | Initializing alert system...
2026-06-20 12:37:11 | DMS | INFO | ✅ All components initialized successfully!
